threat_id,threat_name,stride_category,ai_threat_type,affected_component,affected_data_flow,trust_boundary,baseline_likelihood,baseline_impact,baseline_visible,critical,synthetic,privilege_boundary,blast_radius,persistence,detectability_penalty,reversibility_penalty,compliance_sensitivity,example_controls,evidence_required,applicable_scenarios
T001,Forged MCP server identity,Spoofing,forged_mcp_server_identity,mcp_server,orchestrator_to_mcp_server,orchestrator_to_tool_layer,3,4,False,True,True,3,2,1,2,1,2,"oauth_oidc_identity_binding,mcp_gateway_policy_enforcement_point,fail_closed_high_risk_tools","server_identity_validation_log,tool_registry_review","S05,S10"
T002,Impersonated workload identity,Spoofing,impersonated_workload_identity,workload_identity,pipeline_to_registry,cicd_to_model_registry,3,5,False,True,True,4,3,2,2,2,2,"workload_identity_federation,abac_authorization,structured_audit_logging","identity_binding_log,workload_identity_review","S08,S10"
T003,Indirect prompt injection,Tampering,indirect_prompt_injection,retrieval_pipeline,retriever_to_llm,application_to_llm_provider,4,4,False,False,True,2,2,1,2,1,1,"response_filtering,approval_gate,structured_audit_logging","prompt_trace_log,retrieved_context_review",S01
T004,Retrieval poisoning,Tampering,retrieval_poisoning,vector_database,retriever_to_vector_database,application_to_vector_database,3,4,False,False,True,2,2,3,2,2,1,"structured_audit_logging,opentelemetry_traceability,response_filtering","document_provenance_log,retriever_trace","S02,S06,S09"
T005,Model artifact replacement,Tampering,model_artifact_replacement,model_registry,pipeline_to_registry,cicd_to_model_registry,3,5,True,True,True,4,3,3,2,3,2,"approval_gate,structured_audit_logging,fail_closed_high_risk_tools","registry_audit_log,deployment_approval_record",S08
T006,Missing tool call audit trail,Repudiation,missing_tool_call_audit_trail,audit_log,orchestrator_to_approval_queue,application_to_human_review,3,3,True,True,True,1,1,2,2,2,2,"structured_audit_logging,opentelemetry_traceability,approval_gate","audit_log_review,trace_sample","S05,S12"
T007,Sensitive context leakage,Information Disclosure,sensitive_context_leakage,llm_endpoint,orchestrator_to_llm,application_to_llm_provider,4,5,True,True,True,2,3,1,2,2,3,"response_filtering,approval_gate,structured_audit_logging","output_review_log,prompt_trace_log","S01,S02,S03,S04,S06,S07,S11"
T008,Embedding metadata leakage,Information Disclosure,embedding_metadata_leakage,embedding_service,retriever_to_embedding_service,application_to_embedding_service,3,4,False,True,True,2,2,2,2,2,2,"abac_authorization,structured_audit_logging,opentelemetry_traceability","embedding_access_log,vector_index_review",S09
T009,Model resource exhaustion,Denial of Service,model_resource_exhaustion,llm_endpoint,orchestrator_to_llm,application_to_llm_provider,3,4,True,False,True,1,2,1,1,1,1,"rate_limit,fail_closed_high_risk_tools,structured_audit_logging","rate_limit_log,provider_usage_review","S03,S11"
T010,Retrieval amplification,Denial of Service,retrieval_amplification,retrieval_pipeline,orchestrator_to_retriever,application_to_vector_database,3,3,False,False,True,1,2,1,1,1,1,"rate_limit,tool_metadata_risk_tiering,opentelemetry_traceability","retrieval_load_trace,vector_query_review",S07
T011,Excessive agency,Elevation of Privilege,excessive_agency,orchestrator,user_prompt_to_orchestrator,user_to_application,4,5,False,True,True,3,3,1,2,2,2,"approval_gate,abac_authorization,fail_closed_high_risk_tools","approval_decision_log,policy_enforcement_record","S04,S10,S12"
T012,Confused deputy through MCP tool,Elevation of Privilege,confused_deputy_through_mcp_tool,mcp_gateway,orchestrator_to_mcp_server,orchestrator_to_tool_layer,4,5,False,True,True,4,3,1,2,2,2,"mcp_gateway_policy_enforcement_point,oauth_oidc_identity_binding,fail_closed_high_risk_tools","gateway_policy_decision_log,tool_authorization_review",S05
